# BinNR microsec O-Beam AUX chi(deg)
77.000 3600.010 51 117 80.000
78.000 3600.010 48 100 80.000
79.000 3600.010 37 127 80.000
80.000 3600.010 49 114 80.000
81.000 3600.010 50 127 80.000
82.000 3600.010 56 154 80.000
83.000 3600.010 48 116 80.000
84.000 3600.010 38 152 80.000
85.000 3600.010 50 136 80.000
86.000 3600.010 45 151 80.000
87.000 3600.010 25 158 80.000
88.000 3600.010 45 131 80.000
89.000 3600.010 44 129 80.000
90.000 3600.010 44 119 80.000
91.000 3600.010 46 124 80.000
92.000 3600.010 54 113 80.000
93.000 3600.010 37 109 80.000
94.000 3600.010 39 105 80.000
95.000 3600.010 45 105 80.000
96.000 3600.010 42 101 80.000
97.000 3600.010 35 101 80.000
98.000 3600.010 44 92 80.000
99.000 3600.010 47 126 80.000
100.000 3600.010 38 135 80.000
101.000 3600.010 42 144 80.000
102.000 3600.010 53 146 80.000
103.000 3600.010 46 169 80.000
104.000 3600.010 48 159 80.000
105.000 3600.010 38 145 80.000
106.000 3600.010 45 132 80.000
107.000 3600.010 49 135 80.000
108.000 3600.010 35 138 80.000
109.000 3600.010 38 109 80.000
110.000 3600.010 43 110 80.000
111.000 3600.010 51 102 80.000
112.000 3600.010 48 122 80.000
113.000 3600.010 58 101 80.000
114.000 3600.010 47 104 80.000
115.000 3600.010 35 97 80.000
116.000 3600.010 53 99 80.000
117.000 3600.010 44 105 80.000
118.000 3600.010 37 114 80.000
119.000 3600.010 37 140 80.000
120.000 3600.010 34 140 80.000
121.000 3600.010 45 153 80.000
122.000 3600.010 42 131 80.000
123.000 3600.010 41 157 80.000
124.000 3600.010 51 161 80.000
125.000 3600.010 39 118 80.000
126.000 3600.010 43 125 80.000
127.000 3600.010 41 125 80.000
128.000 3600.010 53 122 80.000
129.000 3600.010 46 108 80.000
130.000 3600.010 51 101 80.000
131.000 3600.010 43 109 80.000
132.000 3600.010 41 115 80.000
133.000 3600.010 40 86 80.000
134.000 3600.010 41 98 80.000
135.000 3600.010 39 126 80.000
136.000 3600.010 50 127 80.000
137.000 3600.010 50 122 80.000
138.000 3600.010 43 161 80.000
139.000 3600.010 54 117 80.000
140.000 3600.010 36 152 80.000
141.000 3600.010 45 141 80.000
142.000 3600.010 38 147 80.000
143.000 3600.010 45 132 80.000
144.000 3600.010 40 113 80.000
145.000 3600.010 47 110 80.000
146.000 3600.010 46 107 80.000
147.000 3600.010 43 114 80.000
148.000 3600.010 61 93 80.000
149.000 3600.010 44 99 80.000
150.000 3600.010 49 106 80.000
151.000 3600.010 46 106 80.000
152.000 3600.010 47 109 80.000
153.000 3600.010 52 118 80.000
154.000 3600.010 40 129 80.000
155.000 3600.010 36 127 80.000
156.000 3600.010 48 159 80.000
157.000 3600.010 40 135 80.000
158.000 3600.010 38 157 80.000
159.000 3600.010 33 133 80.000
160.000 3600.010 49 124 80.000
161.000 3600.010 67 120 80.000
162.000 3600.010 42 109 80.000
163.000 3600.010 57 124 80.000
164.000 3600.010 46 115 80.000
165.000 3600.010 49 97 80.000
166.000 3600.010 62 131 80.000
167.000 3600.010 51 100 80.000
168.000 3600.010 51 100 80.000
169.000 3600.010 44 102 80.000
170.000 3600.010 53 118 80.000
171.000 3600.010 31 111 80.000
172.000 3600.010 42 122 80.000
173.000 3600.010 45 145 80.000
174.000 3600.010 55 150 80.000
175.000 3600.010 51 143 80.000
176.000 3600.010 42 190 80.000
177.000 3600.010 42 146 80.000
178.000 3600.010 56 139 80.000
179.000 3600.010 44 130 80.000
180.000 3600.010 51 134 80.000
181.000 3600.010 45 118 80.000
182.000 3600.010 48 129 80.000
183.000 3600.010 41 102 80.000
184.000 3600.010 42 85 80.000
185.000 3600.010 53 98 80.000
186.000 3600.010 45 123 80.000
187.000 3600.010 45 105 80.000
188.000 3600.010 43 132 80.000
189.000 3600.010 56 105 80.000
190.000 3600.010 48 137 80.000
191.000 3600.010 41 114 80.000
192.000 3600.010 46 137 80.000
193.000 3600.010 40 157 80.000
194.000 3600.010 45 130 80.000
195.000 3600.010 59 118 80.000
196.000 3600.010 41 141 80.000
197.000 3600.010 35 128 80.000
198.000 3600.010 49 145 80.000
199.000 3600.010 37 117 80.000
200.000 3600.010 59 109 80.000
201.000 3600.010 44 101 80.000
202.000 3600.010 43 126 80.000
203.000 3600.010 35 105 80.000
204.000 3600.010 51 104 80.000
205.000 3600.010 63 112 80.000
206.000 3600.010 49 90 80.000
207.000 3600.010 37 106 80.000
208.000 3600.010 58 136 80.000
209.000 3600.010 45 118 80.000
210.000 3600.010 46 130 80.000
211.000 3600.010 43 144 80.000
212.000 3600.010 38 142 80.000
213.000 3600.010 39 137 80.000
214.000 3600.010 55 146 80.000
215.000 3600.010 40 154 80.000
216.000 3600.010 63 124 80.000
217.000 3600.010 41 135 80.000
218.000 3600.010 43 111 80.000
219.000 3600.010 47 111 80.000
220.000 3600.010 43 130 80.000
221.000 3600.010 35 97 80.000
222.000 3600.010 50 102 80.000
223.000 3600.010 41 92 80.000
224.000 3600.010 43 126 80.000
225.000 3600.010 49 120 80.000
226.000 3600.010 50 133 80.000
227.000 3600.010 43 111 80.000
228.000 3600.010 53 152 80.000
229.000 3600.010 38 147 80.000
230.000 3600.010 42 155 80.000
231.000 3600.010 40 144 80.000
232.000 3600.010 41 147 80.000
233.000 3600.010 46 149 80.000
234.000 3600.010 54 142 80.000
235.000 3600.010 47 107 80.000
236.000 3600.010 44 118 80.000
237.000 3600.010 40 107 80.000
238.000 3600.010 60 104 80.000
239.000 3600.010 41 109 80.000
240.000 3600.010 51 94 80.000
241.000 3600.010 43 102 80.000
242.000 3600.010 52 119 80.000
243.000 3600.010 39 117 80.000
244.000 3600.010 43 144 80.000
245.000 3600.010 40 133 80.000
246.000 3600.010 29 143 80.000
247.000 3600.010 42 148 80.000
248.000 3600.010 47 149 80.000
249.000 3600.010 55 154 80.000
250.000 3600.010 44 131 80.000
251.000 3600.010 35 130 80.000
252.000 3600.010 40 117 80.000
253.000 3600.010 45 138 80.000
254.000 3600.010 40 134 80.000
255.000 3600.010 44 126 80.000
256.000 3600.010 58 116 80.000
257.000 3600.010 54 94 80.000
258.000 3600.010 49 109 80.000
259.000 3600.010 44 129 80.000
260.000 3600.010 43 112 80.000
261.000 3600.010 57 117 80.000
262.000 3600.010 44 151 80.000
263.000 3600.010 56 137 80.000
264.000 3600.010 65 135 80.000
265.000 3600.010 53 129 80.000
266.000 3600.010 50 139 80.000
267.000 3600.010 42 164 80.000
268.000 3600.010 37 151 80.000
269.000 3600.010 33 101 80.000
270.000 3600.010 42 130 80.000
271.000 3600.010 53 114 80.000
272.000 3600.010 36 137 80.000
273.000 3600.010 52 104 80.000
274.000 3600.010 60 113 80.000
275.000 3600.010 51 120 80.000
276.000 3600.010 64 134 80.000
277.000 3600.010 52 101 80.000
278.000 3600.010 42 113 80.000
279.000 3600.010 33 127 80.000
280.000 3600.010 39 124 80.000
281.000 3600.010 50 117 80.000
282.000 3600.010 47 138 80.000
283.000 3600.010 46 130 80.000
284.000 3600.010 46 121 80.000
285.000 3600.010 32 125 80.000
286.000 3600.010 45 112 80.000
287.000 3600.010 51 134 80.000
288.000 3600.010 41 114 80.000
289.000 3600.010 52 112 80.000
290.000 3600.010 47 110 80.000
291.000 3600.010 33 89 80.000
292.000 3600.010 46 114 80.000
293.000 3600.010 43 96 80.000
294.000 3600.010 57 133 80.000
295.000 3600.010 36 128 80.000
296.000 3600.010 38 108 80.000
297.000 3600.010 39 103 80.000
298.000 3600.010 37 134 80.000
299.000 3600.010 44 122 80.000
300.000 3600.010 44 149 80.000
301.000 3600.010 54 153 80.000
302.000 3600.010 45 124 80.000
303.000 3600.010 37 128 80.000
304.000 3600.010 19 61 80.000
